NAME,AGE,BIRTH,DEATH,JOB,CJENM,TVCHOSUN,MBC,EBS,TVN,SBS,KBS,JTBC,YTN,TOTAL
영조,조선후기,1694-10-31,1776-04-22,정치인,9919100,149464,22590000,1071094,8820000,2759800,17694900,8820000,2651180,74475538
홍대용,조선후기,1731-03-01,1783-10-23,사상가,2110000,10019,0,139565,1170000,0,1766334,1170000,158311,6524229
정조,조선후기,1752-10-28,1800-08-18,정치인,14147900,7108858,32856000,1445091,8586400,43935000,7028100,8586400,1566136,125259885
정약종,조선후기,1760-03-10,1801-02-26,종교인,11100,0,0,3500,61000,0,609800,61000,1300,747700
박제가,조선후기,1750-11-05,1805-07-06,사상가,3575800,56562,4140000,128314,4120200,0,6576974,4120200,380421,23098471
홍경래,조선후기,1780-01-01,1812-05-29,운동가,2130000,270733,2880000,6948,682000,0,5111021,682000,10634,11773336
신윤복,조선후기,1758-01-01,1814-12-31,예술가,4174400,25369,1791300,190230,2316500,0,9076921,2316500,1597169,21488389
정약전,조선후기,1758-03-01,1816-06-06,사상가,48800,1768,0,41958,799000,0,4401800,799000,225213,6317539
김홍도,조선후기,1745-01-01,1818-12-31,예술가,18863900,49638,459600,1300302,1338900,940000,3774251,1338900,4192296,32257787
정약용,조선후기,1762-08-05,1836-04-07,사상가,24589600,2832509,430400,31791,7079900,754000,7635200,7079900,356926,50790226
김정희,조선후기,1786-06-03,1856-10-10,예술가,5375900,1528963,1340000,1383994,8642200,9740000,5139678,8642200,274528,42067463
최제우,조선후기,1824-12-18,1864-04-15,종교인,9201400,1926,360000,13232,170000,0,220300,170000,2654,10139512
김정호,조선후기,1804-01-01,1866-12-31,사상가,8046000,9937779,1189900,1917361,2914000,1950000,3221278,2914000,423584,32513902
박규수,조선후기,1807-10-27,1877-02-09,사상가,0,547,0,11656,1300000,0,411200,1300000,44200,3067603
최한기,조선후기,1803-10-26,1877-06-21,과학자,0,0,0,10000,0,0,12800,0,13500,36300
신재효,조선후기,1812-01-01,1884-12-31,사상가,0,4100,0,180000,83000,0,0,83000,10180,360280
허련,조선후기,1808-01-01,1893-12-31,예술가,0,199,0,59578,25000,0,754000,25000,0,863777
김옥균,조선후기,1851-02-23,1894-03-28,정치인,466800,582700,0,31605,5120000,3553000,8170800,5120000,7136,23052041
명성황후,조선후기,1851-11-17,1895-10-08,정치인,13674200,1097364,7641900,261007,12647400,4952300,8801600,12647400,3386314,65109485
김홍집,조선후기,1842-01-01,1896-02-11,정치인,1540000,5700,0,159578,5405300,2290000,444800,5405300,41999,15292677
장승업,조선후기,1843-01-01,1897-12-31,예술가,0,32715,0,4433,120000,0,980800,120000,167176,1425124
흥선대원군,조선후기,1821-01-24,1898-02-22,정치인,8348700,366257,3040000,1138868,11487300,3463000,6414800,11487300,2277943,48024168
최시형,조선후기,1827-03-21,1898-06-02,종교인,1100,0,0,1932,170000,0,40600,170000,868,384500
이제마,조선후기,1837-04-23,1900-08-11,의사,11460000,101773,660000,835588,1757000,0,1691000,1757000,521745,18784106
최익현,조선후기,1834-01-14,1907-01-01,정치인,1095300,182054,2710000,115065,2587900,54000,2202914,2587900,55800,11590933
이준,조선후기,1859-01-21,1907-07-14,정치인,15152200,2024831,11390900,1217406,2663400,30467000,4006624,2663400,1091348,70677109
안중근,일제강점기,1879-09-02,1910-03-26,운동가,7737200,1120723,9522000,1395521,5801800,45470000,4314945,5801800,86591,81250580
주시경,일제강점기,1876-12-22,1914-07-27,사상가,2081712,0,0,362946,75800,600000,82133,75800,506467,3784858
