NAME,AGE,BIRTH_YEAR,DEATH_YEAR,JOB,CJENM,TVCHOSUN,MBC,EBS,TVN,SONG100
단군,삼국시대,-2333,-425,정치인,29586564,3444410,5200000,240452,4537700,1
동명왕,삼국시대,-58,19,정치인,17700,6700,0,19649,20000,1
온조왕,삼국시대,-36,28,정치인,0,0,0,30394,54000,1
김수로,삼국시대,42,199,정치인,26373800,6044361,32320600,571093,1707600,0
박혁거세,삼국시대,-69,4,정치인,5216000,1039000,1620000,31444,1638400,1
근초고왕,삼국시대,300,375,정치인,345400,3205600,0,365500,0,0
광개토대왕,삼국시대,374,413,정치인,7801300,3681130,500000,65090,878600,1
백결선생,삼국시대,414,,예술가,0,0,4620000,6630,0,1
이사부,삼국시대,480,562,군인,6000,5021,1330000,59427,0,1
진흥왕,삼국시대,534,576,정치인,2994800,1714,0,52498,10018000,0
선덕여왕,삼국시대,606,647,정치인,20201700,4300261,9637000,979206,15364000,0
의자왕,삼국시대,590,660,정치인,13354300,818418,2545700,1828770,15339000,1
계백,삼국시대,,660,군인,445000,12779,300000,136916,1178600,1
김관창,삼국시대,645,660,군인,0,26000,0,0,0,1
연개소문,삼국시대,590,664,정치인,28406700,3136786,0,1348197,12583000,0
김유신,삼국시대,595,673,군인,20567200,216322,0,239826,7756200,1
문무왕,삼국시대,626,681,정치인,357300,1100,0,134482,402100,1
원효대사,삼국시대,617,686,종교인,20047020,536573,10558000,545317,3027000,1
대조영,삼국시대,645,719,정치인,16055700,2196354,400000,2670692,4181000,1
혜초,삼국시대,704,787,종교인,53000,25674,0,28454,0,1
장보고,삼국시대,780,841,군인,6226800,9043919,15759000,176347,2533200,1
최치원,삼국시대,857,908,사상가,4049000,68445,0,58750,11000,0
궁예,삼국시대,857,918,정치인,9695900,1739379,31799000,136347,7705800,0
견훤,삼국시대,867,936,정치인,6357700,134000,1620000,149212,6279400,0
왕건,고려,877,918,정치인,73350300,3755897,17217800,18765,7985700,0
양규,고려,,1011,군인,1502000,361,0,38000,1302000,0
강감찬,고려,948,1031,군인,1881400,14791,0,239430,4040200,1
현종,고려,992,1031,정치인,22435700,235724,5310000,689098,9683100,0
최충,고려,984,1068,정치인,620000,673589,0,8800,59400,1
의천,고려,1055,1101,종교인,0,0,0,4217,0,1
척준경,고려,,1144,군인,5891000,502517,0,2940000,1951000,0
김부식,고려,1075,1151,사상가,2820000,751,510000,31037,3615500,1
정중부,고려,1106,1179,군인,3170600,0,510000,3200,3932000,1
지눌,고려,1158,1210,종교인,0,2400,2240000,52766,930000,1
일연,고려,1206,1289,종교인,1615900,1150,0,204390,6481000,1
이인로,고려,,1220,문학가,0,571,0,15800,0,1
최영,고려,1316,1388,군인,8793900,2349758,1750000,80646,4279300,1
정몽주,고려,1338,1392,정치인,14104100,1023210,0,1824975,7528400,1
최무선,고려,1330,1395,군인,0,9200,0,102915,15600,1
문익점,고려,1329,1398,사상가,650000,61253,2350000,25022,654200,1
정도전,조선전기,1342,1398,정치인,9065000,406402,2630000,146461,4591400,0
이성계,조선전기,1335,1408,정치인,15629900,768513,7500,173144,13064300,1
세종대왕,조선전기,1397,1418,정치인,27643100,1621182,7439600,1629099,5574100,1
태종,조선전기,1367,1422,정치인,17236568,350356,3376000,289805,5345600,1
이종무,조선전기,1360,1425,군인,70000,26776,120000,9459,205000,1
맹사성,조선전기,1360,1438,정치인,679300,120872,800000,219700,1341000,1
장영실,조선전기,1385,1442,과학자,21785300,177020,6283800,648954,3779500,1
황희,조선전기,1363,1452,정치인,6710300,498117,18940000,2678330,7743000,1
성삼문,조선전기,1418,1456,정치인,2585900,8249,0,53300,1245000,1
단종,조선전기,1441,1457,정치인,18268100,234325,15290000,507536,3627000,1
박연,조선전기,1378,1458,예술가,5070000,29763342,860000,488207,148400,0
신숙주,조선전기,1417,1475,정치인,3300800,51125,0,88339,2371500,1
한명회,조선전기,1415,1487,정치인,9700100,1899582,8740000,382179,16695000,1
홍길동,조선전기,,1500,운동가,27522398,1541021,11250000,956600,2206200,1
연산군,조선전기,1476,1506,정치인,11766900,1761260,11691600,755575,20342800,0
신사임당,조선전기,1504,1551,예술가,18276100,5229159,1186500,1339900,6130300,1
임꺽정,조선전기,1504,1562,운동가,5513900,929460,18667000,536069,11721600,1
