NAME,KBS_NEWS,TVCHOSUN,CJENM,EBS,MNET,SPOTV,MBC_ENT,CLASS
단군,30,30,28,30,5,3,6,위인
박혁거세,30,10,3,12,1,1,1,위인
동명왕,2,1,2,5,1,1,1,위인
온조왕,4,1,1,3,1,1,1,위인
김수로,30,30,30,30,29,5,32,위인
근초고왕,30,3,3,10,1,1,1,위인
광개토대왕,30,7,11,59,1,1,1,위인
이사부,27,3,1,11,1,1,2,위인
진흥왕,15,4,19,9,1,1,1,위인
선덕여왕,30,13,30,20,2,1,16,위인
의자왕,26,30,30,27,2,1,30,위인
계백,18,4,5,12,1,1,1,위인
연개소문,15,6,30,7,1,1,1,위인
김유신,30,30,30,60,1,1,1,위인
문무왕,25,1,2,19,1,1,1,위인
원효대사,14,8,30,10,1,1,4,위인
대조영,30,20,11,30,1,1,1,위인
혜초,30,8,1,8,1,1,1,위인
장보고,30,30,30,30,2,1,12,위인
최치원,30,4,3,30,1,1,1,위인
왕건,30,30,30,60,2,1,39,위인
궁예,30,47,30,60,9,1,12,위인
견훤,26,3,30,11,1,1,1,위인
현종,30,19,30,39,3,16,2,위인
강감찬,30,6,12,18,1,1,1,위인
의천,8,1,1,6,1,1,1,위인
김부식,4,1,3,16,1,1,1,위인
정중부,20,1,17,3,1,1,1,위인
일연,7,2,5,30,1,1,1,위인
최영,30,30,21,30,3,1,3,위인
정몽주,30,30,30,26,1,1,1,위인
최무선,6,1,1,6,1,1,1,위인
정도전,30,30,23,60,1,1,1,위인
문익점,11,10,4,7,1,1,3,위인
이성계,30,30,30,30,1,1,4,위인
세종대왕,30,30,30,29,30,4,23,위인
태종,30,29,30,30,2,57,5,위인
장영실,30,30,30,40,1,1,2,위인
황희,30,30,30,30,1,22,12,위인
한명회,14,30,30,12,1,1,1,위인
연산군,30,30,30,34,3,1,7,위인
신사임당,30,30,29,30,1,1,12,위인
퇴계이황,30,30,5,30,1,1,1,위인
율곡이이,30,3,2,58,1,1,1,위인
허난설헌,12,6,6,10,1,1,5,위인
조헌,7,5,7,10,1,1,1,위인
김시민,14,2,3,6,1,1,1,위인
이순신,30,30,30,27,14,13,30,위인
권율,30,30,30,30,9,9,58,위인
한석봉,17,8,16,25,1,1,1,위인
유성룡,10,3,25,20,1,1,1,위인
사명대사,30,19,28,21,4,1,31,위인
허준,30,30,54,30,30,10,19,위인
곽재우,12,1,1,7,1,1,1,위인
광해군,30,16,30,30,1,1,2,위인
김만중,6,1,2,16,1,1,1,위인
박문수,30,8,10,15,1,1,1,위인
영조,30,30,60,60,1,1,29,위인
홍대용,13,3,1,16,1,1,1,위인
정조,30,29,30,56,7,1,58,위인
박제가,21,18,12,39,1,1,3,위인
김만덕,22,1,30,30,30,1,1,위인
홍경래,5,2,4,2,1,1,1,위인
신윤복,30,30,30,22,1,1,8,위인
김홍도,30,30,30,52,3,1,6,위인
정약용,30,30,30,60,17,1,4,위인
김대건,30,1,9,10,1,1,1,위인
김정희,30,30,20,30,1,1,1,위인
최제우,4,2,10,4,10,1,1,위인
김옥균,10,5,21,7,1,1,1,위인
명성황후,30,30,30,54,7,1,13,위인
전봉준,30,8,30,14,1,1,3,위인
장승업,30,15,1,3,1,1,1,위인
이제마,11,16,10,49,2,1,1,위인
안중근,30,29,30,27,1,1,13,위인
주시경,7,1,8,13,1,1,1,위인
고종,30,30,30,56,1,1,48,위인
유관순,30,30,30,60,2,20,5,위인
손병희,25,1,2,1,1,1,1,위인
김좌진,30,12,11,4,1,1,2,위인
이봉창,30,8,30,23,1,1,1,위인
신채호,30,2,3,20,1,1,1,위인
안창호,30,10,30,29,1,1,1,위인
홍범도,30,18,30,18,1,1,7,위인
이육사,30,25,7,17,1,1,2,위인
한용운,30,30,1,16,1,1,1,위인
윤동주,30,30,24,59,4,2,8,위인
김구,30,30,30,58,3,1,19,위인
서재필,11,1,6,7,1,1,1,위인
우장춘,15,3,1,19,1,1,1,위인
이승만,30,30,30,60,2,1,5,정치인
박정희,30,30,30,56,2,1,9,정치인
김광석,30,30,28,30,30,9,26,연예인
손기정,30,11,9,44,2,1,32,운동선수
백남준,30,13,28,54,2,1,2,연예인
김일,30,21,16,14,1,1,1,연예인
노무현,30,30,30,57,19,2,23,정치인
김대중,30,30,18,56,2,6,9,정치인
조오련,14,5,1,2,1,1,1,운동선수
김영삼,57,30,30,30,2,4,3,정치인
신성일,30,30,1,26,1,1,1,연예인
김종필,30,30,5,30,1,8,1,정치인
전두환,30,30,30,59,2,2,9,정치인
유상철,30,30,42,27,2,30,11,운동선수
노태우,30,30,9,32,1,1,4,정치인
방탄소년단,29,29,29,29,29,23,59,연예인
김연경,30,30,29,30,59,57,56,운동선수
임영웅,30,30,30,30,58,13,54,연예인
블랙핑크,29,28,29,29,56,13,29,연예인
손흥민,30,30,30,30,30,57,30,운동선수
아이유,30,30,30,30,58,27,30,연예인
영탁,56,30,29,30,54,3,30,연예인
류현진,30,30,29,30,45,57,22,운동선수
김종국,30,30,30,60,60,31,59,연예인
이찬원,30,30,27,30,55,4,30,연예인
엑소,29,29,29,49,57,11,59,연예인
유재석,30,30,30,55,60,44,30,연예인
레드벨벳,29,29,29,57,58,11,58,연예인
강다니엘,30,30,30,30,30,20,30,연예인
에스파,30,57,30,26,30,47,59,연예인
브레이브걸스,30,30,30,11,52,4,59,연예인
세븐틴,29,29,29,55,57,13,58,연예인
소녀시대,29,29,29,29,59,42,55,연예인
샤이니,29,29,29,29,29,18,57,연예인
공유,49,30,30,28,55,29,57,연예인
백종원,30,30,30,58,57,19,60,연예인
트와이스,29,29,29,29,55,13,29,연예인
송강,30,30,30,36,59,2,59,연예인
NCT,29,29,29,46,56,14,54,연예인
이승기,30,30,30,30,59,24,29,연예인
장민호,30,30,30,59,60,1,59,연예인
조승우,30,30,30,49,54,1,60,연예인
한소희,30,30,22,16,59,18,29,연예인
오마이걸,30,30,30,55,30,11,58,연예인
이병헌,30,30,30,60,53,15,30,연예인
장기용,30,30,59,8,32,1,30,연예인
박군,30,29,30,30,38,1,60,연예인
조인성,30,30,30,59,30,16,59,연예인
김소연,30,30,30,58,15,7,59,연예인
조정석,30,30,30,30,60,1,58,연예인
송중기,30,30,30,59,57,6,59,연예인
이상민,30,30,30,30,59,29,59,연예인
마마무,53,29,29,29,59,1,57,연예인
2PM,29,29,29,56,57,3,56,연예인
슈퍼주니어,29,29,54,40,55,59,58,연예인
러블리즈,30,30,27,47,30,3,59,연예인
더보이즈,30,30,58,60,56,30,59,연예인
김준호,30,30,30,30,12,15,60,연예인
전소미,30,30,30,30,59,7,55,연예인
강호동,30,30,30,54,51,30,57,연예인
비투비,29,29,29,58,58,9,59,연예인
서현진,29,29,29,25,54,4,54,연예인
박서준,30,30,30,35,58,11,30,연예인
정동원,30,30,29,30,58,3,59,연예인
손예진,30,30,30,30,58,9,59,연예인
아스트로,29,29,26,26,54,4,57,연예인
이지아,30,30,30,30,33,3,46,연예인
장윤정,30,30,30,30,58,1,59,연예인
몬스타엑스,30,30,30,25,58,1,60,연예인
SG워너비,30,30,30,29,60,3,59,연예인
유연석,30,30,30,26,29,4,58,연예인
송지효,30,30,30,25,58,5,60,연예인
안정환,30,30,26,58,21,59,58,운동선수
박명수,30,30,30,60,57,6,59,연예인
정경호,30,30,29,30,54,3,30,연예인
에이프릴,29,29,29,56,58,2,5,연예인
김희재,30,30,28,21,55,1,29,연예인
ITZY,30,30,30,20,58,8,60,연예인
빅마마,30,30,28,29,60,3,59,연예인
김구라,30,30,25,30,60,30,59,연예인
백지영,30,30,30,30,59,1,58,연예인
이무진,30,30,29,30,30,1,59,연예인
송가인,30,30,30,57,30,3,55,연예인
김희철,30,30,30,44,30,2,57,연예인
서장훈,57,28,26,30,30,60,60,운동선수
박주미,30,30,11,16,3,1,4,연예인
허재,30,30,24,45,6,54,59,운동선수
이제훈,30,30,30,60,30,1,57,연예인
전미도,30,30,30,33,6,2,23,연예인
라붐,30,30,29,11,57,2,55,연예인
서인국,30,30,30,38,30,2,30,연예인
SF9,29,29,29,6,58,1,34,연예인
이승윤,30,30,29,59,27,1,60,연예인
유희열,30,30,30,59,30,16,58,연예인
홍진영,53,30,30,55,60,4,37,연예인
드림캐쳐,30,30,25,4,60,2,3,연예인
나훈아,30,30,27,59,29,2,15,연예인
투모로우바이투게더,30,17,29,8,30,1,18,연예인
김대명,30,17,29,2,5,1,11,연예인
이하나,30,30,30,56,27,16,60,연예인
조세호,30,30,30,55,56,9,60,연예인
윤여정,30,30,28,56,30,1,60,연예인
탁재훈,30,30,30,40,30,9,30,연예인
이동휘,30,34,30,6,21,2,30,연예인
악동뮤지션,29,29,29,29,55,1,57,연예인
문채원,30,30,29,16,9,1,7,연예인
엄기준,30,30,59,17,8,1,29,연예인
지석진,30,30,30,37,30,4,59,연예인
김국진,53,30,30,50,8,11,59,연예인
박효신,58,30,30,58,56,8,60,연예인
임창정,58,30,30,60,30,7,59,연예인
남진,30,30,30,59,30,1,22,연예인
장범준,58,29,28,43,29,10,41,연예인
