NAME,AGE,BIRTH,DEATH,JOB,MBC,KBS,SBS,TVN,JTBC,TOTAL
홍대용,조선후기,1731-03-01,1783-10-23,실학자,0,1630000,0,1170000,820000,3620000
정약종,조선후기,1760-03-10,1801-02-26,종교인,0,599000,0,61000,0,660000
박제가,조선후기,1750-11-05,1805-07-06,실학자,4130000,14613000,0,4102000,1826000,24671000
홍경래,조선후기,1780-01-01,1812-05-29,운동가,2880000,4134000,0,682000,1026000,8722000
신윤복,조선후기,1758-01-01,1814-12-31,화가,1778000,8691000,0,2284000,202000,12955000
김홍도,조선후기,1745-01-01,1818-12-31,화가,448000,3735000,940000,1308000,2706000,9137000
정약용,조선후기,1762-08-05,1836-04-07,실학자,426000,15680000,754000,6993000,3221000,27074000
김정희,조선후기,1786-06-03,1856-10-10,화가,1340000,4982000,9740000,8631000,10561000,35254000
김정호,조선후기,1804-01-01,1866-12-31,실학자,11894000,3383000,1950000,2911000,1842000,21980000
신재효,조선후기,1812-01-01,1884-12-31,역사학자,0,0,0,83000,34000,117000
장승업,조선후기,1843-01-01,1897-12-31,화가,0,960000,0,120000,0,1080000
이제마,조선후기,1837-04-23,1900-08-11,의사,660000,1691000,0,1757000,51000,4159000
안중근,일제강점기,1879-09-02,1910-03-26,운동가,14342000,4485000,70393000,5667000,5394000,100281000
주시경,일제강점기,1876-12-22,1914-07-27,역사학자,0,73000,600000,59000,0,732000
유길준,일제강점기,1856-11-21,1914-09-30,정치인,0,3388000,0,0,0,3388000
장지연,일제강점기,1846-11-30,1921-10-02,운동가,1810000,908000,0,0,2765000,5483000
김좌진,일제강점기,1889-12-16,1930-01-24,운동가,6281000,1140000,1190000,3287000,1523000,13421000
방정환,일제강점기,1899-11-09,1931-07-23,문학가,29000,31000,0,223000,0,283000
김소월,일제강점기,1902-09-07,1934-12-24,문학가,0,0,0,1505000,593000,2098000
지석영,일제강점기,1855-05-15,1935-02-01,의사,1020000,92000,0,0,15000,1127000
신채호,일제강점기,1880-12-08,1936-02-21,역사학자,0,7248000,540000,1559000,34000,9381000
김유정,일제강점기,1908-02-12,1937-03-29,문학가,72154000,699000,16380000,85000,166000,89484000
나운규,일제강점기,1902-10-17,1937-08-09,문학가,0,103000,0,51000,0,154000
안창호,일제강점기,1878-11-09,1938-03-10,정치인,0,545000,7120000,8819000,710000,17194000
홍난파,일제강점기,1897-04-10,1941-08-30,음악가,0,0,0,0,310000,310000
이상화,일제강점기,1901-04-05,1943-04-25,문학가,19377000,841000,1460000,3696000,457000,25831000
현진건,일제강점기,1900-08-09,1943-04-25,문학가,0,814000,0,0,99000,913000
홍범도,일제강점기,1868-08-27,1943-10-25,운동가,526000,713000,44437000,10425000,9855000,65956000
이육사,일제강점기,1904-05-18,1944-01-16,문학가,42000,331000,75670000,289000,2543000,78875000
한용운,일제강점기,1879-08-29,1944-06-29,문학가,350000,1350000,2430000,31000,1737000,5898000
윤동주,일제강점기,1917-12-30,1945-02-16,문학가,6293000,174000,74540000,7025000,1494000,89526000
나혜석,대한민국,1896-04-28,1948-12-10,화가,0,4916000,85702000,3008000,14000,93640000
김구,대한민국,1876-08-29,1949-06-26,정치인,33262000,2971000,65521000,5290000,9018000,116062000
석주명,대한민국,1908-10-17,1950-10-06,과학자,0,0,0,36000,0,36000
서재필,대한민국,1864-01-07,1951-01-05,정치인,0,614000,3093000,1776000,0,5483000
이중섭,대한민국,1916-09-16,1956-09-06,화가,1661000,915000,0,4229000,300000,7105000
우장춘,대한민국,1898-04-08,1959-08-10,과학자,0,2164000,19825000,1550000,0,23539000
전형필,대한민국,1906-07-29,1962-01-26,기업인,0,6939000,4680000,95000,105000,11819000
염상섭,대한민국,1897-08-30,1963-03-14,문학가,0,580000,0,0,13000,593000
박수근,대한민국,1914-02-21,1965-05-06,화가,0,0,0,0,300000,300000
안익태,대한민국,1906-1205,1965-09-16,음악가,0,900000,5610000,0,0,6510000
조지훈,대한민국,1920-12-03,1968-05-17,문학가,11900000,0,0,19000,150000,12069000
김수영,대한민국,1921-11-27,1968-06-16,문학가,36423000,3200000,0,1868000,285000,41776000
김환기,대한민국,1913-04-03,1974-07-25,화가,1650000,90000,0,711000,1161000,3612000
양주동,대한민국,1903-08-16,1977-02-04,역사학자,0,570000,0,0,0,570000
함석헌,대한민국,1901-03-13,1989-02-04,종교인,0,269000,0,330000,0,599000
장욱진,대한민국,1918-01-08,1990-12-27,화가,0,0,0,30000,0,30000
